"day_pos","date_time","date_time_exp","sent_num","text"
1,"2016-08-15 10:01:24","2016-08-15 09:45:00",-1,"Starting week after vacation is terrible especially first day in work. I have read all emails already so I can work now #n #xpb"
2,"2016-08-15 10:52:51","2016-08-15 10:30:00",-1,"Organizing last sprint close and new sprint establishing and going to visit sprint review meeting. So, not so much productive work #n #xpb"
3,"2016-08-15 11:18:46","2016-08-15 11:15:00",1,"Sitting at the meeting. It wasn't bad, but return after vacation is tough. It's over for month, so we can focus on work again #p #xpb"
4,"2016-08-15 12:00:53","2016-08-15 12:00:00",1,"Finally I am working on something which is reasonable and not only planning and review our or another work #p #xpb"
5,"2016-08-15 12:59:39","2016-08-15 12:45:00",1,"We had a passionate discussion about not so much important part of the design and currently I need to arrange appointment #p #xpb"
6,"2016-08-15 14:04:40","2016-08-15 13:30:00",1,"I have done appointment by the doctor for me and my wife and returning to the work. It would be short day today #p #xpb"
7,"2016-08-15 14:16:46","2016-08-15 14:15:00",1,"With almost full team after holidays I can finally do what ever I want, because knowledge is not hidden for me anymore #p #xpb"
8,"2016-08-15 15:01:26","2016-08-15 15:00:00",1,"All necessary topics discussed with team leader and I can return back to the work. Situation from the morning calmed down #p #xpb"
9,"2016-08-15 16:09:42","2016-08-15 15:45:00",-1,"Dealing with more and more complex problems around as the project is going to the end. Some cases we have never seen before #n #xpb"
10,"2016-08-15 16:31:58","2016-08-15 16:30:00",1,"Searching for drink meeting as celebration of Sprint end and cannot find it. Today the presence is mandatory because CEO arrive #p #xpb"
11,"2016-08-15 17:27:59","2016-08-15 17:15:00",1,"Time to leave work. Family pick me up anyway and it was enough long day first time after vacation. Let's enjoy the rest of the day #p #xpb"
12,"2016-08-15 18:00:57","2016-08-15 18:00:00",1,"In the shop with the furniture is lot of fun. They have electronics in here as well. So, kids have chosen biggest TV #p #xpb"
13,"2016-08-15 19:13:07","2016-08-15 18:45:00",1,"Next shop is IKEA where we are buying pink magical carpet to daughters room. After dinner are kids satisfied and willing to shopping #p #xpb"
