hr,steps,gsr,calories,temp,mood
94.0,0,5.72925e-05,2.0,87.8,-1.0
81.0,0,5.76104e-05,1.5,87.8,-1.0
87.0,0,5.82517e-05,1.6,88.7,-1.0
90.0,0,5.79302e-05,1.7,88.7,-1.0
93.0,0,5.72925e-05,1.9,88.7,-1.0
93.0,0,5.76104e-05,1.8,88.7,-1.0
93.0,0,5.82517e-05,1.9,88.7,-1.0
93.0,0,5.76104e-05,1.8,88.7,-1.0
97.0,0,5.76104e-05,2.2,88.7,-1.0
99.0,13,5.76104e-05,2.3,88.7,-1.0
103.0,0,5.76104e-05,2.6,88.7,-1.0
129.0,7,5.69762e-05,9.1,87.8,-1.0
117.0,0,5.69762e-05,5.4,87.8,-1.0
111.0,80,5.6349e-05,4.5,87.8,-1.0
102.0,39,5.6349e-05,3.0,87.8,-1.0
89.0,46,5.69762e-05,2.0,87.8,-1.0
111.0,0,5.69762e-05,3.1,86.9,-1.0
109.0,0,5.76104e-05,3.0,86.9,-1.0
114.0,30,5.60379e-05,4.3,86.9,-1.0
109.0,0,5.6349e-05,3.0,86.9,-1.0
106.0,0,5.5728599999999994e-05,2.7,86.9,-1.0
108.0,0,5.89002e-05,2.8,86.9,-1.0
104.0,0,5.6349e-05,2.7,87.8,1.0
104.0,0,5.72925e-05,2.6,87.8,1.0
109.0,55,5.76104e-05,3.2,88.7,1.0
118.0,82,5.79302e-05,6.0,88.7,1.0
110.0,0,5.69762e-05,3.3,88.7,1.0
102.0,0,5.85751e-05,2.6,88.7,1.0
117.0,51,5.76104e-05,5.2,88.7,1.0
115.0,51,5.72925e-05,4.7,88.7,1.0
108.0,19,5.72925e-05,3.1,88.7,1.0
105.0,0,5.82517e-05,2.6,88.7,1.0
93.0,0,5.72925e-05,2.1,88.7,1.0
104.0,0,6.1227e-05,2.7,90.5,1.0
101.0,0,5.85751e-05,2.4,90.5,1.0
100.0,0,5.82517e-05,2.3,90.5,1.0
98.0,0,7.07038e-05,2.2,90.5,1.0
99.0,0,5.85751e-05,2.3,90.5,1.0
100.0,0,5.85751e-05,2.3,90.5,1.0
100.0,0,5.9555799999999997e-05,2.3,90.5,1.0
102.0,0,5.9555799999999997e-05,2.5,90.5,1.0
95.0,0,6.15669e-05,2.1,90.5,1.0
103.0,0,5.89002e-05,2.6,90.5,1.0
99.0,0,6.02188e-05,2.3,90.5,1.0
93.0,0,6.02188e-05,1.9,89.6,1.0
92.0,0,6.80167e-05,1.9,89.6,1.0
94.0,0,6.25977e-05,2.0,89.6,1.0
95.0,0,6.471149999999999e-05,2.0,89.6,1.0
94.0,0,6.5795e-05,2.0,89.6,1.0
105.0,0,6.364579999999999e-05,2.6,89.6,1.0
106.0,40,6.65274e-05,2.9,89.6,1.0
104.0,0,6.80167e-05,2.8,89.6,1.0
102.0,13,6.61602e-05,2.3,89.6,1.0
97.0,11,5.82517e-05,2.6,88.7,1.0
103.0,56,6.435430000000001e-05,2.8,88.7,1.0
100.0,0,0.00029324099999999997,2.5,89.6,1.0
95.0,0,0.000336759,2.0,89.6,1.0
96.0,0,0.000126428,2.1,88.7,1.0
97.0,0,0.000258188,2.2,88.7,1.0
96.0,0,9.070149999999999e-05,2.1,88.7,1.0
95.0,0,6.1227e-05,2.0,88.7,1.0
95.0,0,0.000240263,2.1,88.7,1.0
94.0,0,0.00020921400000000002,2.0,89.6,1.0
94.0,0,0.000315119,2.0,89.6,1.0
93.0,0,0.000120952,1.9,89.6,1.0
96.0,0,0.00011070100000000001,2.2,89.6,1.0
100.0,0,0.000105322,2.4,89.6,1.0
97.0,0,7.767970000000001e-05,2.1,89.6,1.0
95.0,0,0.000101319,2.1,89.6,1.0
97.0,0,0.00016308700000000002,2.1,89.6,1.0
96.0,0,0.000150927,2.1,89.6,1.0
95.0,0,0.000129976,2.0,89.6,1.0
97.0,0,0.00010076,2.2,89.6,1.0
95.0,0,0.000115074,2.0,89.6,1.0
90.0,0,0.00011070100000000001,1.7,89.6,1.0
95.0,0,6.15669e-05,2.1,90.5,1.0
87.0,0,6.08891e-05,1.6,89.6,1.0
92.0,0,5.79302e-05,1.8,90.5,1.0
89.0,0,5.85751e-05,1.8,90.5,1.0
85.0,0,5.92271e-05,1.5,90.5,1.0
91.0,0,5.92271e-05,1.8,90.5,1.0
96.0,0,5.92271e-05,2.0,90.5,1.0
95.0,0,5.9555799999999997e-05,2.1,90.5,1.0
91.0,0,6.15669e-05,1.7,90.5,1.0
96.0,0,7.03135e-05,2.1,90.5,1.0
96.0,0,0.000105322,2.1,90.5,1.0
94.0,0,8.487280000000001e-05,2.0,90.5,1.0
94.0,0,6.1227e-05,1.9,90.5,1.0
101.0,0,6.190859999999999e-05,2.5,90.5,-1.0
90.0,0,6.29452e-05,1.8,90.5,-1.0
97.0,0,5.82517e-05,2.2,90.5,-1.0
100.0,0,6.190859999999999e-05,2.5,90.5,-1.0
100.0,11,6.435430000000001e-05,2.4,90.5,-1.0
104.0,25,6.471149999999999e-05,2.8,90.5,-1.0
98.0,0,6.50707e-05,2.3,90.5,-1.0
100.0,0,5.79302e-05,2.4,89.6,-1.0
105.0,52,6.29452e-05,2.9,89.6,-1.0
100.0,0,5.79302e-05,2.5,89.6,-1.0
94.0,0,5.89002e-05,2.0,89.6,-1.0
98.0,0,5.92271e-05,2.5,89.6,1.0
100.0,50,6.1227e-05,2.6,90.5,1.0
95.0,32,6.25977e-05,2.1,89.6,1.0
92.0,101,5.76104e-05,2.2,89.6,1.0
100.0,41,5.18595e-05,2.6,89.6,1.0
101.0,58,5.79302e-05,2.8,89.6,1.0
114.0,73,6.02188e-05,4.4,89.6,1.0
112.0,70,5.82517e-05,4.0,88.7,1.0
100.0,19,5.66617e-05,2.5,88.7,1.0
98.0,7,5.60379e-05,2.2,88.7,1.0
108.0,0,5.79302e-05,2.9,88.7,1.0
94.0,0,6.76413e-05,1.9,89.6,1.0
93.0,0,5.98864e-05,2.0,89.6,1.0
96.0,0,7.03135e-05,2.1,89.6,1.0
96.0,0,9.171110000000001e-05,2.7,89.6,1.0
116.0,102,0.00010020399999999999,5.2,89.6,1.0
114.0,105,6.0553e-05,4.3,89.6,1.0
106.0,59,9.63954e-05,4.1,89.6,1.0
104.0,0,0.000117651,2.9,89.6,1.0
99.0,0,9.74685e-05,2.5,89.6,1.0
98.0,0,0.000129976,2.3,89.6,1.0
99.0,0,0.000156889,2.4,89.6,1.0
102.0,22,0.000175254,2.7,89.6,1.0
106.0,17,0.00019361400000000002,3.4,89.6,1.0
96.0,0,0.00018318900000000002,2.2,89.6,1.0
97.0,0,0.000141228,2.3,89.6,1.0
98.0,0,0.00016308700000000002,2.5,89.6,1.0
102.0,0,7.72509e-05,2.5,89.6,1.0
94.0,0,0.000213898,2.1,89.6,1.0
95.0,0,0.00021868599999999997,2.1,90.5,1.0
101.0,0,0.000309929,2.6,90.5,1.0
103.0,50,0.00021989999999999998,2.8,90.5,1.0
105.0,43,0.000131423,3.1,89.6,1.0
92.0,0,0.000107085,1.8,88.7,1.0
94.0,0,7.72509e-05,2.0,88.7,1.0
99.0,0,9.85534e-05,2.4,88.7,1.0
100.0,57,0.000129258,2.7,88.7,1.0
95.0,101,0.000124346,2.4,89.6,1.0
103.0,32,0.000115074,2.8,88.7,1.0
103.0,43,0.000101319,2.8,88.7,1.0
102.0,58,7.07038e-05,2.9,88.7,1.0
96.0,68,7.98595e-05,2.4,88.7,1.0
98.0,39,9.85534e-05,2.4,87.8,1.0
99.0,49,5.85751e-05,2.6,87.8,1.0
100.0,34,8.629389999999999e-05,2.8,87.8,-1.0
104.0,6,5.72925e-05,3.1,87.8,-1.0
97.0,0,6.02188e-05,2.3,87.8,-1.0
95.0,0,0.000363893,2.4,87.8,-1.0
96.0,9,0.00024159599999999998,2.6,87.8,-1.0
102.0,0,0.000672663,2.9,87.8,-1.0
95.0,0,0.000311649,2.2,87.8,-1.0
94.0,0,0.00022234799999999998,2.2,87.8,-1.0
94.0,0,0.00022234799999999998,2.2,87.8,-1.0
96.0,0,0.00024159599999999998,2.5,87.8,-1.0
96.0,0,0.00024159599999999998,2.5,87.8,-1.0
97.0,0,0.00020238,2.6,88.7,-1.0
97.0,0,0.00020238,2.6,88.7,-1.0
96.0,0,0.000177205,2.5,88.7,-1.0
96.0,0,0.000177205,2.5,88.7,-1.0
101.0,0,0.000224823,2.9,88.7,-1.0
95.0,0,6.364579999999999e-05,2.1,88.7,-1.0
94.0,0,0.000901986,2.4,88.7,-1.0
107.0,78,0.00139669,3.4,88.7,-1.0
110.0,86,0.00047463199999999995,3.5,88.7,-1.0
106.0,49,0.000135861,3.7,88.7,-1.0
94.0,0,0.00018833,2.1,88.7,-1.0
86.0,0,0.000148441,1.6,86.0,-1.0
92.0,0,0.000240263,2.0,86.0,-1.0
88.0,0,0.000311649,1.7,86.0,-1.0
85.0,0,0.000338629,1.8,86.9,-1.0
94.0,23,0.00021627900000000002,2.2,86.9,-1.0
88.0,0,0.000179178,1.6,87.8,-1.0
88.0,0,0.000129976,1.8,87.8,-1.0
92.0,14,0.000122977,2.0,87.8,-1.0
88.0,9,0.00015602299999999998,2.0,87.8,-1.0
87.0,16,0.000122298,2.0,87.8,-1.0
97.0,0,0.000304825,2.4,87.8,-1.0
77.0,0,0.00158631,1.5,86.9,1.0
79.0,0,0.00135107,1.4,87.8,1.0
82.0,0,0.00113805,1.6,87.8,1.0
85.0,0,0.00122295,1.5,87.8,1.0
82.0,0,0.00182173,1.5,87.8,1.0
87.0,0,0.00167659,1.6,88.7,1.0
86.0,0,0.000811946,1.6,87.8,1.0
84.0,0,0.00071489,1.5,87.8,1.0
82.0,0,0.000755575,1.5,87.8,1.0
85.0,0,0.000867707,1.5,87.8,1.0
82.0,0,0.0007349510000000001,1.4,87.8,1.0
87.0,0,6.80167e-05,1.6,87.8,1.0
87.0,0,6.54318e-05,1.6,87.8,1.0
86.0,0,6.61602e-05,1.5,87.8,1.0
89.0,0,6.689659999999999e-05,1.9,87.8,1.0
80.0,0,6.54318e-05,1.5,88.7,1.0
84.0,0,6.72679e-05,1.5,88.7,1.0
80.0,0,6.471149999999999e-05,1.5,88.7,1.0
79.0,0,6.02188e-05,1.4,88.7,1.0
80.0,0,5.9555799999999997e-05,1.5,88.7,1.0
85.0,0,6.02188e-05,1.5,87.8,1.0
84.0,0,6.02188e-05,1.6,87.8,1.0
84.0,0,5.72925e-05,1.5,89.6,1.0
85.0,0,5.79302e-05,1.7,89.6,1.0
85.0,0,5.76104e-05,1.5,89.6,1.0
88.0,0,5.79302e-05,1.6,89.6,1.0
85.0,0,5.76104e-05,1.5,89.6,1.0
88.0,0,5.79302e-05,1.6,90.5,1.0
87.0,0,5.79302e-05,1.6,90.5,1.0
96.0,14,5.79302e-05,2.5,89.6,1.0
103.0,28,5.76104e-05,2.8,89.6,1.0
90.0,0,5.72925e-05,1.8,89.6,1.0
91.0,0,5.69762e-05,2.0,88.7,1.0
71.0,0,5.66617e-05,1.4,86.9,-1.0
65.0,0,5.60379e-05,1.5,86.9,-1.0
88.0,0,5.6349e-05,1.5,86.9,-1.0
92.0,0,5.48109e-05,1.4,86.0,-1.0
101.0,0,5.48109e-05,1.5,86.0,-1.0
95.0,0,5.5115100000000004e-05,2.4,86.0,-1.0
98.0,0,5.5115100000000004e-05,2.6,86.9,-1.0
89.0,0,5.60379e-05,2.0,86.0,-1.0
96.0,0,5.45083e-05,2.6,86.0,-1.0
95.0,11,5.48109e-05,2.5,86.0,-1.0
94.0,0,5.5421000000000004e-05,2.2,86.0,-1.0
83.0,0,7.03135e-05,1.7,86.9,1.0
83.0,0,6.15669e-05,1.5,86.9,1.0
87.0,0,6.02188e-05,1.9,86.9,1.0
85.0,34,6.02188e-05,2.0,86.9,1.0
94.0,0,6.22522e-05,2.2,86.9,1.0
95.0,0,6.61602e-05,2.4,86.9,1.0
94.0,0,6.15669e-05,2.5,86.9,1.0
96.0,0,6.25977e-05,2.4,86.9,1.0
97.0,0,6.50707e-05,2.6,86.9,1.0
97.0,0,6.29452e-05,2.6,86.0,1.0
94.0,0,6.02188e-05,2.4,86.0,1.0
93.0,0,5.79302e-05,2.2,87.8,1.0
100.0,0,5.72925e-05,2.8,88.7,1.0
102.0,0,6.0553e-05,2.8,88.7,1.0
103.0,0,5.85751e-05,3.0,88.7,1.0
101.0,0,5.79302e-05,2.7,88.7,1.0
102.0,0,5.76104e-05,2.9,88.7,1.0
107.0,0,5.85751e-05,3.5,88.7,1.0
100.0,0,5.85751e-05,2.7,88.7,1.0
100.0,0,5.98864e-05,2.7,88.7,1.0
100.0,0,5.92271e-05,2.8,88.7,1.0
90.0,0,5.89002e-05,2.0,88.7,1.0
99.0,0,5.82517e-05,2.6,89.6,1.0
97.0,0,5.82517e-05,2.5,89.6,1.0
98.0,0,5.85751e-05,2.6,89.6,1.0
101.0,39,5.89002e-05,3.0,89.6,1.0
108.0,2,5.89002e-05,2.6,89.6,1.0
100.0,0,5.76104e-05,2.7,89.6,1.0
92.0,0,5.85751e-05,2.2,88.7,1.0
95.0,0,5.76104e-05,2.3,88.7,1.0
92.0,0,5.69762e-05,2.1,88.7,1.0
91.0,0,5.66617e-05,2.0,88.7,1.0
94.0,0,5.66617e-05,2.3,87.8,1.0
96.0,0,5.72925e-05,2.4,89.6,-1.0
96.0,0,5.72925e-05,2.4,88.7,-1.0
96.0,0,5.72925e-05,2.4,89.6,-1.0
88.0,0,5.76104e-05,2.1,89.6,-1.0
97.0,0,5.72925e-05,2.4,89.6,-1.0
101.0,0,5.72925e-05,2.8,89.6,-1.0
98.0,0,5.79302e-05,2.6,89.6,-1.0
101.0,0,5.98864e-05,2.8,89.6,-1.0
92.0,0,5.76104e-05,2.1,89.6,-1.0
95.0,0,5.76104e-05,2.4,89.6,-1.0
98.0,0,5.85751e-05,2.6,89.6,-1.0
95.0,0,5.72925e-05,2.4,88.7,-1.0
95.0,0,5.66617e-05,2.4,88.7,-1.0
91.0,10,5.66617e-05,2.1,88.7,-1.0
89.0,0,5.72925e-05,2.1,88.7,-1.0
92.0,0,5.6349e-05,2.1,88.7,-1.0
97.0,0,5.69762e-05,2.5,88.7,-1.0
90.0,0,5.72925e-05,2.2,88.7,-1.0
91.0,0,5.60379e-05,2.1,88.7,-1.0
94.0,44,5.82517e-05,2.7,88.7,-1.0
95.0,70,5.69762e-05,2.2,88.7,-1.0
92.0,12,5.66617e-05,2.4,87.8,-1.0
93.0,0,5.76104e-05,2.2,89.6,1.0
95.0,0,5.66617e-05,2.4,89.6,1.0
92.0,0,5.82517e-05,2.3,89.6,1.0
98.0,0,5.69762e-05,2.7,89.6,1.0
97.0,0,5.72925e-05,2.6,89.6,1.0
93.0,0,5.76104e-05,2.3,89.6,1.0
92.0,0,5.72925e-05,2.2,89.6,1.0
92.0,0,6.08891e-05,2.2,89.6,1.0
94.0,0,5.69762e-05,2.3,89.6,1.0
89.0,0,5.72925e-05,1.9,89.6,1.0
93.0,0,5.9555799999999997e-05,2.3,89.6,1.0
89.0,0,5.72925e-05,1.9,90.5,-1.0
92.0,0,5.79302e-05,2.2,90.5,-1.0
89.0,0,5.72925e-05,2.1,90.5,-1.0
91.0,0,5.82517e-05,2.0,90.5,-1.0
91.0,0,5.76104e-05,2.1,90.5,-1.0
92.0,0,5.79302e-05,2.1,90.5,-1.0
87.0,0,5.76104e-05,2.0,90.5,-1.0
73.0,0,5.79302e-05,1.4,90.5,-1.0
63.0,0,5.82517e-05,1.5,90.5,-1.0
77.0,0,5.72925e-05,1.5,90.5,-1.0
68.0,0,5.69762e-05,1.5,89.6,-1.0
87.0,0,5.72925e-05,1.7,89.6,1.0
83.0,0,5.76104e-05,1.7,89.6,1.0
85.0,0,5.69762e-05,1.8,89.6,1.0
85.0,0,5.76104e-05,1.7,89.6,1.0
97.0,39,5.69762e-05,2.7,88.7,1.0
106.0,57,5.76104e-05,4.4,89.6,1.0
117.0,63,5.79302e-05,6.6,89.6,1.0
108.0,7,5.69762e-05,4.5,88.7,1.0
88.0,70,5.66617e-05,2.2,88.7,1.0
89.0,24,5.69762e-05,2.1,88.7,1.0
88.0,0,5.6349e-05,1.8,88.7,1.0
86.0,0,5.72925e-05,1.7,89.6,1.0
82.0,0,5.76104e-05,1.6,89.6,1.0
90.0,0,5.66617e-05,2.0,89.6,1.0
81.0,0,5.69762e-05,1.6,89.6,1.0
84.0,0,5.72925e-05,1.7,89.6,1.0
83.0,0,5.72925e-05,1.6,89.6,1.0
86.0,0,5.76104e-05,1.7,89.6,1.0
82.0,0,5.72925e-05,1.5,89.6,1.0
83.0,0,5.69762e-05,1.6,89.6,1.0
83.0,0,5.72925e-05,1.6,89.6,1.0
93.0,0,5.72925e-05,2.2,89.6,1.0
93.0,0,5.69762e-05,2.4,89.6,1.0
98.0,0,5.82517e-05,2.9,89.6,1.0
107.0,0,5.76104e-05,3.8,89.6,1.0
105.0,123,5.69762e-05,3.4,89.6,1.0
104.0,106,5.69762e-05,3.2,88.7,1.0
114.0,37,5.72925e-05,5.6,88.7,1.0
104.0,0,5.69762e-05,2.9,88.7,1.0
97.0,0,5.76104e-05,2.8,88.7,1.0
104.0,0,5.85751e-05,3.0,89.6,1.0
88.0,0,5.79302e-05,1.8,89.6,1.0
90.0,0,5.72925e-05,2.1,89.6,1.0
92.0,22,6.02188e-05,2.4,87.8,-1.0
89.0,0,5.66617e-05,1.9,87.8,-1.0
87.0,0,5.82517e-05,1.7,87.8,-1.0
87.0,33,5.76104e-05,2.0,87.8,-1.0
90.0,0,5.82517e-05,2.1,87.8,-1.0
85.0,0,5.76104e-05,1.7,87.8,-1.0
92.0,0,5.82517e-05,2.2,87.8,-1.0
83.0,0,6.32945e-05,1.6,87.8,-1.0
84.0,0,6.39991e-05,1.8,87.8,-1.0
89.0,0,5.82517e-05,2.1,87.8,-1.0
87.0,0,5.69762e-05,1.8,87.8,-1.0
78.0,0,5.5728599999999994e-05,1.4,86.9,-1.0
86.0,15,5.6349e-05,2.3,86.9,-1.0
106.0,69,5.5728599999999994e-05,3.5,86.9,-1.0
90.0,0,5.60379e-05,2.1,86.9,-1.0
88.0,0,5.66617e-05,1.9,86.9,-1.0
93.0,17,5.85751e-05,2.3,86.9,-1.0
