hr,steps,gsr,calories,temp,sent_num
93.0,0,5.76104e-05,1.8,88.7,N
111.0,0,5.69762e-05,3.1,86.9,N
102.0,0,5.85751e-05,2.6,88.7,P
100.0,0,5.85751e-05,2.3,90.5,P
105.0,0,6.364579999999999e-05,2.6,89.6,P
95.0,0,6.1227e-05,2.0,88.7,P
95.0,0,0.000129976,2.0,89.6,P
95.0,0,5.9555799999999997e-05,2.1,90.5,P
104.0,25,6.471149999999999e-05,2.8,90.5,N
101.0,58,5.79302e-05,2.8,89.6,P
114.0,105,6.0553e-05,4.3,89.6,P
102.0,0,7.72509e-05,2.5,89.6,P
103.0,32,0.000115074,2.8,88.7,P
102.0,0,0.000672663,2.9,87.8,N
95.0,0,6.364579999999999e-05,2.1,88.7,N
88.0,0,0.000179178,1.6,87.8,N
87.0,0,0.00167659,1.6,88.7,P
84.0,0,6.72679e-05,1.5,88.7,P
88.0,0,5.79302e-05,1.6,90.5,P
95.0,0,5.5115100000000004e-05,2.4,86.0,N
95.0,0,6.61602e-05,2.4,86.9,P
102.0,0,5.76104e-05,2.9,88.7,P
100.0,0,5.76104e-05,2.7,89.6,P
101.0,0,5.72925e-05,2.8,89.6,N
97.0,0,5.69762e-05,2.5,88.7,N
93.0,0,5.76104e-05,2.3,89.6,P
92.0,0,5.79302e-05,2.1,90.5,N
106.0,57,5.76104e-05,4.4,89.6,P
83.0,0,5.72925e-05,1.6,89.6,P
114.0,37,5.72925e-05,5.6,88.7,P
85.0,0,5.76104e-05,1.7,87.8,N
93.0,17,5.85751e-05,2.3,86.9,N
88.0,0,5.39083e-05,2.1,83.3,P
79.0,0,0.000496121,1.4,89.6,N
82.0,0,7.51423e-05,1.6,89.6,P
87.0,0,6.15669e-05,1.9,88.7,P
88.0,0,5.92271e-05,1.9,88.7,P
90.0,0,5.76104e-05,2.1,90.5,P
83.0,0,5.48109e-05,1.7,85.1,N
95.0,0,9.85534e-05,2.5,79.7,N
98.0,0,5.5421000000000004e-05,2.6,86.9,P
86.0,0,5.60379e-05,1.8,87.8,P
93.0,0,5.85751e-05,2.2,89.6,P
100.0,0,5.60379e-05,2.9,86.9,P
96.0,0,5.72925e-05,2.5,89.6,P
95.0,0,5.6349e-05,2.4,87.8,N
90.0,0,5.5728599999999994e-05,2.1,86.9,P
97.0,0,5.72925e-05,2.6,88.7,P
123.0,48,5.66617e-05,8.7,87.8,P
101.0,67,6.80167e-05,3.0,87.8,P
93.0,0,6.02188e-05,2.2,86.0,P
90.0,0,5.72925e-05,2.1,88.7,P
94.0,0,5.60379e-05,2.3,87.8,P
96.0,0,6.08891e-05,2.4,90.5,N
89.0,0,6.0553e-05,2.0,88.7,P
91.0,0,6.15669e-05,2.1,89.6,P
87.0,0,0.000120952,2.0,84.2,N
107.0,0,5.2147399999999995e-05,3.5,77.0,N
102.0,0,5.6349e-05,2.6,87.8,P
108.0,0,5.5728599999999994e-05,3.0,86.9,P
105.0,0,5.72925e-05,2.8,88.7,P
117.0,0,5.48109e-05,5.2,85.1,P
116.0,0,5.5421000000000004e-05,3.6,85.1,N
94.0,0,5.9555799999999997e-05,2.1,86.9,N
89.0,0,5.45083e-05,1.8,84.2,N
91.0,0,5.5115100000000004e-05,1.8,85.1,P
99.0,0,0.000231132,2.3,86.0,P
97.0,0,6.992539999999999e-05,2.3,89.6,N
95.0,0,5.79302e-05,2.2,88.7,P
87.0,7,5.79302e-05,1.7,89.6,N
95.0,0,6.02188e-05,2.2,90.5,P
100.0,0,7.39049e-05,2.4,90.5,P
98.0,0,5.82517e-05,2.3,88.7,P
125.0,0,8.871540000000001e-05,6.8,81.5,P
105.0,0,0.000272882,2.6,86.9,P
105.0,0,0.000186256,2.5,89.6,P
99.0,0,6.08891e-05,2.1,89.6,P
102.0,0,5.79302e-05,2.5,89.6,P
102.0,0,5.79302e-05,2.4,89.6,N
99.0,0,5.72925e-05,2.1,88.7,P
92.0,0,5.79302e-05,1.8,89.6,P
98.0,0,6.0553e-05,2.1,88.7,P
96.0,0,5.69762e-05,2.1,89.6,P
95.0,0,5.79302e-05,2.0,89.6,N
92.0,0,5.79302e-05,1.8,89.6,P
92.0,0,5.9555799999999997e-05,1.8,86.0,P
93.0,0,6.364579999999999e-05,2.0,86.9,P
92.0,0,5.5421000000000004e-05,1.8,84.2,N
103.0,0,5.72925e-05,2.4,88.7,P
98.0,0,5.85751e-05,2.0,90.5,P
92.0,0,5.45083e-05,1.7,86.9,N
95.0,0,5.5728599999999994e-05,2.0,88.7,P
92.0,0,5.85751e-05,1.8,90.5,P
93.0,9,5.5115100000000004e-05,1.9,86.9,N
89.0,0,6.364579999999999e-05,1.7,87.8,P
101.0,7,0.00010358700000000001,2.4,88.7,P
111.0,0,0.00199043,2.8,85.1,P
105.0,11,0.000441679,2.5,85.1,N
118.0,75,6.02188e-05,4.4,87.8,N
105.0,0,6.15669e-05,2.4,87.8,N
100.0,0,0.0006329290000000001,2.5,86.0,N
95.0,0,0.000393212,2.1,89.6,P
97.0,0,8.030279999999999e-05,2.1,89.6,P
98.0,0,6.29452e-05,2.2,89.6,P
104.0,0,8.82258e-05,2.6,88.7,N
100.0,7,9.070149999999999e-05,2.6,89.6,N
96.0,0,7.94187e-05,2.1,90.5,P
94.0,0,6.83943e-05,2.0,88.7,N
91.0,0,5.72925e-05,1.9,86.9,P
91.0,0,5.76104e-05,2.0,88.7,P
100.0,0,5.72925e-05,2.4,87.8,P
103.0,0,5.5115100000000004e-05,2.5,85.1,P
104.0,0,0.000229856,2.7,86.0,P
113.0,10,0.000126428,3.6,86.0,P
106.0,0,8.487280000000001e-05,2.8,85.1,P
94.0,0,8.255620000000001e-05,2.0,85.1,N
117.0,0,7.22866e-05,4.4,91.4,P
107.0,0,5.331479999999999e-05,2.6,84.2,P
114.0,20,0.017818,3.3,84.2,P
113.0,0,0.000636442,3.2,85.1,P
100.0,0,0.00011443899999999999,2.4,86.9,P
97.0,14,0.000190426,2.2,86.0,P
105.0,0,0.00096393,2.7,85.1,N
98.0,0,0.639927,2.3,87.8,N
79.0,20,0.137363,1.5,86.0,N
96.0,0,0.00012713,2.1,84.2,P
95.0,14,0.051569399999999994,2.3,87.8,P
96.0,0,5.85751e-05,2.1,86.9,P
90.0,0,0.00158631,1.8,86.9,P
89.0,0,0.00017622700000000002,1.7,83.3,P
93.0,0,5.5115100000000004e-05,1.9,86.0,P
122.0,96,4.96133e-05,7.8,77.9,P
93.0,0,5.5421000000000004e-05,1.8,84.2,P
94.0,0,6.25977e-05,1.9,82.4,P
116.0,0,5.98864e-05,5.5,81.5,P
105.0,0,7.89803e-05,2.7,88.7,P
104.0,0,0.00011193299999999999,2.7,87.8,P
107.0,0,6.0553e-05,3.0,88.7,P
97.0,0,6.02188e-05,2.3,89.6,P
94.0,0,5.76104e-05,2.1,89.6,P
95.0,0,5.5728599999999994e-05,2.0,87.8,N
111.0,95,5.6349e-05,4.7,88.7,P
91.0,0,0.000190426,1.9,85.1,P
94.0,0,5.92271e-05,2.1,86.0,P
100.0,0,0.000144389,2.3,87.8,N
92.0,0,5.89002e-05,1.8,89.6,P
99.0,0,5.60379e-05,2.3,87.8,P
107.0,0,0.0734914,2.9,89.6,P
95.0,0,0.000153454,2.0,86.9,P
95.0,0,5.69762e-05,2.1,87.8,N
98.0,0,5.82517e-05,2.1,89.6,N
94.0,0,5.69762e-05,1.9,88.7,P
96.0,0,5.82517e-05,2.1,89.6,P
95.0,0,6.1227e-05,2.0,89.6,P
93.0,0,5.89002e-05,2.0,89.6,N
94.0,0,5.66617e-05,2.0,87.8,P
99.0,0,5.66617e-05,2.3,88.7,P
93.0,0,5.79302e-05,1.9,89.6,P
