hr,sent_num
102,P
101,P
101,P
98,P
98,P
90,P
92,P
70,P
69,P
69,P
69,P
106,P
108,P
107,P
108,P
107,P
108,P
109,P
108,P
107,P
105,P
92,N
92,N
92,N
92,N
92,N
92,N
99,P
98,P
97,P
97,P
96,P
97,P
97,P
101,P
100,P
103,P
104,P
105,P
106,P
107,P
89,P
89,P
89,P
91,P
91,P
92,P
93,P
94,P
95,P
93,P
93,P
93,P
92,P
92,P
91,P
91,P
92,P
91,P
87,N
86,N
86,N
85,N
85,N
85,N
89,P
89,P
89,P
89,P
92,P
86,P
85,P
85,P
85,P
85,P
88,P
83,P
83,P
82,P
82,P
115,P
116,P
119,P
120,P
119,P
117,P
118,P
122,P
119,P
114,P
113,P
96,P
96,P
97,P
101,P
104,P
107,P
105,P
103,P
101,P
89,P
89,P
94,P
93,P
93,P
109,N
109,N
105,N
105,N
104,N
95,N
94,N
94,N
95,N
96,N
91,N
90,N
90,N
90,N
90,N
83,P
83,P
87,P
87,P
87,P
87,P
83,P
81,P
80,P
77,P
77,P
77,P
78,P
86,P
86,P
86,P
86,P
86,P
84,P
85,P
85,P
84,P
85,P
86,P
95,P
94,P
94,P
94,P
94,P
112,N
112,N
111,N
113,N
110,N
107,N
106,N
108,N
109,N
111,N
112,N
111,N
111,N
111,N
108,N
99,N
99,N
99,N
101,N
99,N
97,N
95,N
95,P
94,P
94,P
94,P
92,P
84,N
85,N
84,N
84,N
91,P
91,P
88,P
89,P
88,P
88,P
94,P
94,P
94,P
94,P
96,N
96,N
96,N
97,N
97,N
93,N
96,P
96,P
96,P
96,P
95,P
94,N
94,N
93,N
92,N
92,N
91,N
90,N
92,N
92,N
93,N
92,N
92,N
92,N
80,P
82,P
83,P
83,P
84,P
81,P
81,P
81,P
81,P
81,P
79,P
80,P
100,P
99,P
100,P
100,P
98,P
98,P
96,P
93,P
91,P
90,P
89,P
88,P
87,P
86,P
107,P
107,P
107,P
107,P
84,N
84,N
84,N
84,N
84,N
82,P
82,P
82,P
83,P
77,P
77,P
86,N
85,N
85,N
85,N
85,N
83,P
83,P
83,P
83,P
83,P
80,P
80,P
80,P
80,P
76,P
76,P
79,P
79,P
79,P
97,N
97,N
95,N
95,N
92,N
92,N
102,P
102,P
102,P
102,P
102,P
76,P
76,P
76,P
76,P
75,P
70,P
86,P
86,P
86,P
86,P
74,P
74,P
74,P
75,P
83,P
83,P
82,P
82,P
82,P
87,N
87,N
88,N
87,N
87,N
81,P
81,P
83,P
83,P
82,P
82,N
82,N
82,N
82,N
64,N
66,N
74,N
75,N
75,N
84,N
84,N
79,N
76,N
78,P
82,P
83,P
83,P
82,P
82,P
96,N
97,N
97,N
97,N
99,N
103,N
104,N
97,P
97,P
97,P
96,P
93,P
93,P
94,P
95,P
91,P
91,P
91,P
90,P
89,P
90,N
90,N
89,N
91,N
88,N
88,N
81,P
81,P
81,P
81,P
82,P
82,P
82,P
81,P
80,P
81,P
81,P
83,P
79,P
79,P
80,P
80,P
81,P
81,P
85,P
85,P
85,P
85,P
85,P
76,P
