hr,sent_num
102,1
101,1
101,1
98,1
98,1
90,1
92,1
70,1
69,1
69,1
69,1
106,1
108,1
107,1
108,1
107,1
108,1
109,1
108,1
107,1
105,1
92,-1
92,-1
92,-1
92,-1
92,-1
92,-1
99,1
98,1
97,1
97,1
96,1
97,1
97,1
101,1
100,1
103,1
104,1
105,1
106,1
107,1
89,1
89,1
89,1
91,1
91,1
92,1
93,1
94,1
95,1
93,1
93,1
93,1
92,1
92,1
91,1
91,1
92,1
91,1
87,-1
86,-1
86,-1
85,-1
85,-1
85,-1
89,1
89,1
89,1
89,1
92,1
86,1
85,1
85,1
85,1
85,1
88,1
83,1
83,1
82,1
82,1
115,1
116,1
119,1
120,1
119,1
117,1
118,1
122,1
119,1
114,1
113,1
96,1
96,1
97,1
101,1
104,1
107,1
105,1
103,1
101,1
89,1
89,1
94,1
93,1
93,1
109,-1
109,-1
105,-1
105,-1
104,-1
95,-1
94,-1
94,-1
95,-1
96,-1
91,-1
90,-1
90,-1
90,-1
90,-1
83,1
83,1
87,1
87,1
87,1
87,1
83,1
81,1
80,1
77,1
77,1
77,1
78,1
86,1
86,1
86,1
86,1
86,1
84,1
85,1
85,1
84,1
85,1
86,1
95,1
94,1
94,1
94,1
94,1
112,-1
112,-1
111,-1
113,-1
110,-1
107,-1
106,-1
108,-1
109,-1
111,-1
112,-1
111,-1
111,-1
111,-1
108,-1
99,-1
99,-1
99,-1
101,-1
99,-1
97,-1
95,-1
95,1
94,1
94,1
94,1
92,1
84,-1
85,-1
84,-1
84,-1
91,1
91,1
88,1
89,1
88,1
88,1
94,1
94,1
94,1
94,1
96,-1
96,-1
96,-1
97,-1
97,-1
93,-1
96,1
96,1
96,1
96,1
95,1
94,-1
94,-1
93,-1
92,-1
92,-1
91,-1
90,-1
92,-1
92,-1
93,-1
92,-1
92,-1
92,-1
80,1
82,1
83,1
83,1
84,1
81,1
81,1
81,1
81,1
81,1
79,1
80,1
100,1
99,1
100,1
100,1
98,1
98,1
96,1
93,1
91,1
90,1
89,1
88,1
87,1
86,1
107,1
107,1
107,1
107,1
84,-1
84,-1
84,-1
84,-1
84,-1
82,1
82,1
82,1
83,1
77,1
77,1
86,-1
85,-1
85,-1
85,-1
85,-1
83,1
83,1
83,1
83,1
83,1
80,1
80,1
80,1
80,1
76,1
76,1
79,1
79,1
79,1
97,-1
97,-1
95,-1
95,-1
92,-1
92,-1
102,1
102,1
102,1
102,1
102,1
76,1
76,1
76,1
76,1
75,1
70,1
86,1
86,1
86,1
86,1
74,1
74,1
74,1
75,1
83,1
83,1
82,1
82,1
82,1
87,-1
87,-1
88,-1
87,-1
87,-1
81,1
81,1
83,1
83,1
82,1
82,-1
82,-1
82,-1
82,-1
64,-1
66,-1
74,-1
75,-1
75,-1
84,-1
84,-1
79,-1
76,-1
78,1
82,1
83,1
83,1
82,1
82,1
96,-1
97,-1
97,-1
97,-1
99,-1
103,-1
104,-1
97,1
97,1
97,1
96,1
93,1
93,1
94,1
95,1
91,1
91,1
91,1
90,1
89,1
90,-1
90,-1
89,-1
91,-1
88,-1
88,-1
81,1
81,1
81,1
81,1
82,1
82,1
82,1
81,1
80,1
81,1
81,1
83,1
79,1
79,1
80,1
80,1
81,1
81,1
85,1
85,1
85,1
85,1
85,1
76,1
77,1
88,1
88,1
88,1
86,1
85,1
85,1
80,1
79,1
81,1
82,1
114,-1
114,-1
114,-1
114,-1
114,-1
89,1
88,1
87,1
87,1
87,1
